schedule,n_threads,n_systems,n_steps,time
static-0,1,64,100,1760207
static-0,1,128,100,3040915
static-0,1,256,100,6335514
static-0,1,512,100,11965313
static-0,1,1024,100,24169603
static-0,1,64,500,8812251
static-0,1,128,500,15358163
static-0,1,256,500,31678866
static-0,1,512,500,59774538
static-0,1,1024,500,120819942
static-0,1,64,1000,17666902
static-0,1,128,1000,30631827
static-0,1,256,1000,63837871
static-0,1,512,1000,119377049
static-0,1,1024,1000,241769463
static-0,1,64,100,1758729
static-0,1,128,100,3074335
static-0,1,256,100,6404571
static-0,1,512,100,11976942
static-0,1,1024,100,23995150
static-0,1,64,500,8821920
static-0,1,128,500,15324908
static-0,1,256,500,31679606
static-0,1,512,500,59856910
static-0,1,1024,500,120809543
static-0,1,64,1000,17515155
static-0,1,128,1000,30671506
static-0,1,256,1000,63502065
static-0,1,512,1000,119686346
static-0,1,1024,1000,241171165
static-0,1,64,100,1747321
static-0,1,128,100,3076630
static-0,1,256,100,6395872
static-0,1,512,100,11984070
static-0,1,1024,100,24176660
static-0,1,64,500,8808381
static-0,1,128,500,15346411
static-0,1,256,500,31963083
static-0,1,512,500,59917018
static-0,1,1024,500,120868366
static-0,1,64,1000,17600327
static-0,1,128,1000,30665563
static-0,1,256,1000,63766537
static-0,1,512,1000,119545208
static-0,1,1024,1000,241698264
static-0,1,64,100,1760673
static-0,1,128,100,3064158
static-0,1,256,100,6394320
static-0,1,512,100,11956750
static-0,1,1024,100,24165966
static-0,1,64,500,8828561
static-0,1,128,500,15403617
static-0,1,256,500,31953170
static-0,1,512,500,59793755
static-0,1,1024,500,120911995
static-0,1,64,1000,17609328
static-0,1,128,1000,30674583
static-0,1,256,1000,63907829
static-0,1,512,1000,119531573
static-0,1,1024,1000,242005251
static-0,1,64,100,1757162
static-0,1,128,100,3044545
static-0,1,256,100,6385423
static-0,1,512,100,11956511
static-0,1,1024,100,24175011
static-0,1,64,500,8809814
static-0,1,128,500,15348085
static-0,1,256,500,31968676
static-0,1,512,500,59826567
static-0,1,1024,500,120717314
static-0,1,64,1000,17587376
static-0,1,128,1000,30650572
static-0,1,256,1000,63866782
static-0,1,512,1000,119487582
static-0,1,1024,1000,241420562
static-0,1,64,100,1759315
static-0,1,128,100,3061465
static-0,1,256,100,6388107
static-0,1,512,100,11960077
static-0,1,1024,100,23994408
static-0,1,64,500,8824669
static-0,1,128,500,15318489
static-0,1,256,500,31611686
static-0,1,512,500,59196282
static-0,1,1024,500,120809059
static-0,1,64,1000,17583272
static-0,1,128,1000,30676571
static-0,1,256,1000,63845749
static-0,1,512,1000,119474281
static-0,1,1024,1000,241266282
static-0,1,64,100,1764192
static-0,1,128,100,3065435
static-0,1,256,100,6393024
static-0,1,512,100,12001858
static-0,1,1024,100,24156239
static-0,1,64,500,8802489
static-0,1,128,500,15215643
static-0,1,256,500,31675368
static-0,1,512,500,59842309
static-0,1,1024,500,120794339
static-0,1,64,1000,17602030
static-0,1,128,1000,30663452
static-0,1,256,1000,63840441
static-0,1,512,1000,119643760
static-0,1,1024,1000,241515199
static-0,1,64,100,1763906
static-0,1,128,100,3078505
static-0,1,256,100,6379869
static-0,1,512,100,11954390
static-0,1,1024,100,24158340
static-0,1,64,500,8809792
static-0,1,128,500,15370302
static-0,1,256,500,31898104
static-0,1,512,500,59783879
static-0,1,1024,500,120748567
static-0,1,64,1000,17587310
static-0,1,128,1000,30647711
static-0,1,256,1000,63847237
static-0,1,512,1000,119510455
static-0,1,1024,1000,241630359
static-0,1,64,100,1767790
static-0,1,128,100,3066440
static-0,1,256,100,6393725
static-0,1,512,100,11974783
static-0,1,1024,100,24182249
static-0,1,64,500,8711979
static-0,1,128,500,15344394
static-0,1,256,500,31973674
static-0,1,512,500,59520497
static-0,1,1024,500,120972692
static-0,1,64,1000,17610741
static-0,1,128,1000,30712212
static-0,1,256,1000,63916507
static-0,1,512,1000,119686924
static-0,1,1024,1000,241450662
static-0,2,64,100,1017523
static-0,2,128,100,1919384
static-0,2,256,100,3486520
static-0,2,512,100,6161941
static-0,2,1024,100,12266449
static-0,2,64,500,5114568
static-0,2,128,500,9386804
static-0,2,256,500,17400887
static-0,2,512,500,30873497
static-0,2,1024,500,61252003
