n_threads,matrix_size,n_steps,time
2,2048,5000,7511872
2,4096,5000,30306354
2,8192,5000,122030977
2,128,10000,77782
2,256,10000,251978
2,512,10000,939585
2,1024,10000,3671622
2,2048,10000,14838280
2,4096,10000,60961204
2,8192,10000,245706342
2,128,50000,399213
2,256,50000,1204992
2,512,50000,4608458
2,1024,50000,18287327
2,2048,50000,74780231
2,128,100,1311
2,256,100,4420
2,512,100,18955
2,1024,100,62393
2,2048,100,174204
2,4096,100,631444
2,8192,100,2480046
2,128,500,6642
2,256,500,22078
2,512,500,68629
2,1024,500,205148
2,2048,500,768592
2,4096,500,3069745
2,8192,500,12303358
2,128,1000,13291
2,256,1000,43631
2,512,1000,100491
2,1024,1000,388083
2,2048,1000,1488793
2,4096,1000,6077455
2,8192,1000,24811466
2,128,5000,58010
2,256,5000,139773
2,512,5000,480307
2,1024,5000,1846917
2,2048,5000,7521245
2,4096,5000,30169123
2,8192,5000,123633369
2,128,10000,96037
2,256,10000,259716
2,512,10000,932106
2,1024,10000,3671616
2,2048,10000,14916116
2,4096,10000,60576159
2,8192,10000,246289155
2,128,50000,391876
2,256,50000,1206963
2,512,50000,4591645
2,1024,50000,18147602
2,2048,50000,74858300
2,128,100,1510
2,256,100,4842
2,512,100,18205
2,1024,100,63566
2,2048,100,173593
2,4096,100,638876
2,8192,100,2486566
2,128,500,6694
2,256,500,22472
2,512,500,69656
2,1024,500,206561
2,2048,500,760902
2,4096,500,3048674
2,8192,500,12371096
2,128,1000,12196
2,256,1000,46109
2,512,1000,114115
2,1024,1000,362912
2,2048,1000,1513960
2,4096,1000,6043059
2,8192,1000,24496468
2,128,5000,58585
2,256,5000,140873
2,512,5000,480641
2,1024,5000,1823559
2,2048,5000,7521973
2,4096,5000,30111209
2,8192,5000,122338826
2,128,10000,93083
2,256,10000,259466
2,512,10000,914575
2,1024,10000,3619071
2,2048,10000,15044724
2,4096,10000,60596686
2,8192,10000,244126098
2,128,50000,382645
2,256,50000,1212151
2,512,50000,4600179
2,1024,50000,18134721
2,2048,50000,74708013
2,128,100,1605
2,256,100,4608
2,512,100,16596
2,1024,100,62220
2,2048,100,150647
2,4096,100,603817
2,8192,100,2445076
2,128,500,6461
2,256,500,22005
2,512,500,53501
2,1024,500,205882
2,2048,500,748736
2,4096,500,3067244
2,8192,500,12314316
2,128,1000,12133
2,256,1000,43421
2,512,1000,114916
2,1024,1000,388547
2,2048,1000,1512581
2,4096,1000,6114054
2,8192,1000,24453677
2,128,5000,55917
2,256,5000,132318
2,512,5000,461364
2,1024,5000,1848022
2,2048,5000,7475082
2,4096,5000,30328221
2,8192,5000,122605304
2,128,10000,95522
2,256,10000,258914
2,512,10000,939758
2,1024,10000,3649197
2,2048,10000,15014280
2,4096,10000,61091231
2,8192,10000,245876424
2,128,50000,401739
2,256,50000,1213020
2,512,50000,4584322
2,1024,50000,18179627
2,2048,50000,74454902
2,128,100,1468
2,256,100,4612
2,512,100,11712
2,1024,100,40466
2,2048,100,174032
2,4096,100,612295
2,8192,100,2461344
2,128,500,6687
2,256,500,21775
2,512,500,69821
2,1024,500,200364
2,2048,500,773240
2,4096,500,3031273
2,8192,500,12215973
2,128,1000,13858
2,256,1000,43447
2,512,1000,114609
2,1024,1000,390131
2,2048,1000,1498002
2,4096,1000,6115838
2,8192,1000,24405229
2,128,5000,59108
2,256,5000,141415
2,512,5000,467834
2,1024,5000,1856588
2,2048,5000,7447785
2,4096,5000,30522447
2,8192,5000,122257028
2,128,10000,94994
2,256,10000,266991
2,512,10000,915994
2,1024,10000,3622663
2,2048,10000,14997450
2,4096,10000,60792015
2,8192,10000,243970282
2,128,50000,377186
2,256,50000,1211312
2,512,50000,4549298
2,1024,50000,18078387
2,2048,50000,74582885
4,128,100,1100
4,256,100,3113
4,512,100,10256
4,1024,100,38267
4,2048,100,101636
4,4096,100,347227
4,8192,100,1332386
4,128,500,4805
4,256,500,13343
4,512,500,47530
4,1024,500,117904
4,2048,500,406628
4,4096,500,1641128
4,8192,500,6835621
4,128,1000,10428
4,256,1000,22953
4,512,1000,72183
4,1024,1000,211017
4,2048,1000,787436
4,4096,1000,3257078
4,8192,1000,13113865
4,128,5000,48071
4,256,5000,104416
4,512,5000,264963
4,1024,5000,961006
4,2048,5000,3860030
4,4096,5000,16356920
4,8192,5000,65017457
4,128,10000,81264
4,256,10000,175336
4,512,10000,510701
4,1024,10000,1900769
4,2048,10000,7668167
4,4096,10000,32661228
4,8192,10000,130130198
4,128,50000,340242
4,256,50000,749688
4,512,50000,2467715
4,1024,50000,9403247
4,2048,50000,38322936
4,128,100,1114
4,256,100,2810
4,512,100,9214
4,1024,100,35647
4,2048,100,99541
4,4096,100,352003
4,8192,100,1314070
4,128,500,4688
4,256,500,12690
4,512,500,46009
4,1024,500,121667
4,2048,500,405477
4,4096,500,1675895
4,8192,500,6494680
4,128,1000,10291
4,256,1000,27050
4,512,1000,72800
4,1024,1000,210446
4,2048,1000,790535
4,4096,1000,3268058
4,8192,1000,13141767
4,128,5000,50655
4,256,5000,96280
4,512,5000,266847
4,1024,5000,961643
4,2048,5000,3841026
4,4096,5000,16211271
4,8192,5000,65243934
4,128,10000,82961
4,256,10000,168061
4,512,10000,512681
4,1024,10000,1905508
4,2048,10000,7687804
4,4096,10000,32653119
4,8192,10000,130366365
4,128,50000,337484
4,256,50000,742986
4,512,50000,2471050
4,1024,50000,9388568
4,2048,50000,38532719
4,128,100,1094
4,256,100,2880
4,512,100,9990
4,1024,100,38388
4,2048,100,102319
4,4096,100,350251
4,8192,100,1318985
4,128,500,5044
4,256,500,13258
4,512,500,45796
4,1024,500,120104
4,2048,500,402085
4,4096,500,1638515
4,8192,500,6548481
4,128,1000,10006
4,256,1000,28689
4,512,1000,72396
4,1024,1000,225316
4,2048,1000,789845
4,4096,1000,3265915
4,8192,1000,12963301
4,128,5000,50675
4,256,5000,94297
4,512,5000,267802
4,1024,5000,958308
4,2048,5000,3824232
4,4096,5000,16377727
4,8192,5000,65003627
4,128,10000,81632
4,256,10000,166039
4,512,10000,507764
4,1024,10000,1897344
4,2048,10000,7686889
4,4096,10000,32536254
4,8192,10000,130027851
4,128,50000,345877
4,256,50000,745265
4,512,50000,2461968
4,1024,50000,9395630
4,2048,50000,38502949
4,128,100,1198
4,256,100,2912
4,512,100,9891
4,1024,100,37664
4,2048,100,102204
4,4096,100,347078
4,8192,100,1306673
4,128,500,5475
4,256,500,13445
4,512,500,46504
4,1024,500,117459
4,2048,500,407618
4,4096,500,1651971
4,8192,500,6515408
4,128,1000,10268
4,256,1000,26569
4,512,1000,72648
4,1024,1000,211703
4,2048,1000,790900
4,4096,1000,3258255
4,8192,1000,12919878
4,128,5000,50595
4,256,5000,94974
4,512,5000,264826
4,1024,5000,953568
4,2048,5000,3850113
4,4096,5000,16323706
4,8192,5000,65113339
4,128,10000,82641
4,256,10000,166725
4,512,10000,512895
4,1024,10000,1906801
4,2048,10000,7701886
4,4096,10000,32647344
4,8192,10000,130374514
4,128,50000,342635
4,256,50000,753780
4,512,50000,2456924
4,1024,50000,9348369
4,2048,50000,38340227
4,128,100,1109
4,256,100,3184
4,512,100,9252
4,1024,100,35894
4,2048,100,100417
4,4096,100,347249
4,8192,100,1324375
4,128,500,4762
4,256,500,13618
4,512,500,45084
4,1024,500,118705
4,2048,500,408429
4,4096,500,1649102
4,8192,500,6523493
4,128,1000,9866
4,256,1000,25162
4,512,1000,72262
4,1024,1000,206976
4,2048,1000,823639
4,4096,1000,3277515
4,8192,1000,12982482
4,128,5000,49036
4,256,5000,95372
4,512,5000,270087
4,1024,5000,960250
4,2048,5000,3824997
4,4096,5000,16269201
4,8192,5000,65109285
4,128,10000,79358
4,256,10000,166340
4,512,10000,512957
4,1024,10000,1895978
4,2048,10000,7625821
4,4096,10000,32638121
4,8192,10000,130498802
4,128,50000,338757
4,256,50000,754763
4,512,50000,2457411
4,1024,50000,9386709
4,2048,50000,38333859
4,128,100,816
4,256,100,3074
4,512,100,9178
4,1024,100,41036
4,2048,100,100932
4,4096,100,347560
4,8192,100,1321446
4,128,500,4937
4,256,500,12585
4,512,500,45204
4,1024,500,118253
4,2048,500,406374
4,4096,500,1659449
4,8192,500,6528613
4,128,1000,10375
4,256,1000,27759
4,512,1000,71996
4,1024,1000,212147
4,2048,1000,786281
4,4096,1000,3270307
4,8192,1000,13332209
4,128,5000,50055
4,256,5000,103015
4,512,5000,267228
4,1024,5000,954681
4,2048,5000,3855769
4,4096,5000,16281659
4,8192,5000,65127550
4,128,10000,81025
4,256,10000,171145
4,512,10000,514006
4,1024,10000,1886970
4,2048,10000,7719491
4,4096,10000,32512436
4,8192,10000,130273079
4,128,50000,334256
4,256,50000,751841
4,512,50000,2458423
4,1024,50000,9394901
4,2048,50000,38314543
4,128,100,1337
4,256,100,2808
4,512,100,9677
4,1024,100,38169
4,2048,100,102978
4,4096,100,346327
4,8192,100,1329723
4,128,500,5070
4,256,500,13239
4,512,500,47553
4,1024,500,118225
4,2048,500,410723
4,4096,500,1638627
4,8192,500,6490501
4,128,1000,10725
4,256,1000,27932
4,512,1000,72349
4,1024,1000,211404
4,2048,1000,788659
4,4096,1000,3280047
4,8192,1000,13002857
4,128,5000,47979
4,256,5000,95323
4,512,5000,264721
4,1024,5000,964819
4,2048,5000,3816050
4,4096,5000,16342676
4,8192,5000,65057979
4,128,10000,82573
4,256,10000,168328
4,512,10000,512730
4,1024,10000,1903594
4,2048,10000,7675872
4,4096,10000,32714837
4,8192,10000,130776880
4,128,50000,337396
4,256,50000,761999
4,512,50000,2463190
4,1024,50000,9294286
4,2048,50000,38315858
4,128,100,1108
4,256,100,2944
4,512,100,9960
4,1024,100,39166
4,2048,100,102097
4,4096,100,346192
4,8192,100,1324559
4,128,500,5146
4,256,500,12859
4,512,500,49023
4,1024,500,118278
4,2048,500,404627
4,4096,500,1650473
4,8192,500,6578356
4,128,1000,10570
4,256,1000,27521
4,512,1000,72932
4,1024,1000,211271
4,2048,1000,803037
4,4096,1000,3271903
4,8192,1000,12989091
4,128,5000,48780
4,256,5000,93560
4,512,5000,266919
4,1024,5000,959410
4,2048,5000,3847311
4,4096,5000,16291892
4,8192,5000,64922264
4,128,10000,79817
4,256,10000,165152
4,512,10000,505568
4,1024,10000,1893861
4,2048,10000,7665054
4,4096,10000,32643722
4,8192,10000,130122730
4,128,50000,338816
4,256,50000,741739
4,512,50000,2449600
4,1024,50000,9398720
4,2048,50000,38156916
4,128,100,1363
4,256,100,2859
4,512,100,10186
4,1024,100,38699
4,2048,100,101012
4,4096,100,346004
4,8192,100,1343803
4,128,500,4873
4,256,500,12987
4,512,500,47665
4,1024,500,117807
4,2048,500,403371
4,4096,500,1638729
4,8192,500,6564588
4,128,1000,9576
4,256,1000,26418
4,512,1000,73283
4,1024,1000,210259
4,2048,1000,790159
4,4096,1000,3271363
4,8192,1000,13211167
4,128,5000,49391
4,256,5000,94492
4,512,5000,266419
4,1024,5000,958169
4,2048,5000,3841375
4,4096,5000,16328955
4,8192,5000,64936079
4,128,10000,87633
4,256,10000,170595
4,512,10000,512324
4,1024,10000,1898906
4,2048,10000,7680427
4,4096,10000,32635419
4,8192,10000,130305090
4,128,50000,343044
4,256,50000,756012
4,512,50000,2457564
4,1024,50000,9362948
4,2048,50000,38457302
4,128,100,1255
4,256,100,2690
4,512,100,9920
4,1024,100,37876
4,2048,100,102409
4,4096,100,346853
4,8192,100,1310791
4,128,500,4768
4,256,500,13858
4,512,500,47701
4,1024,500,120287
4,2048,500,407215
4,4096,500,1661797
4,8192,500,6539041
4,128,1000,10254
4,256,1000,25760
4,512,1000,71551
4,1024,1000,211278
4,2048,1000,790109
4,4096,1000,3470324
4,8192,1000,13023048
4,128,5000,49132
4,256,5000,93188
4,512,5000,266338
4,1024,5000,984665
4,2048,5000,3844205
4,4096,5000,16382620
4,8192,5000,65392843
4,128,10000,80973
4,256,10000,173370
4,512,10000,509386
4,1024,10000,1897895
4,2048,10000,7662739
4,4096,10000,32568643
4,8192,10000,130028058
4,128,50000,324389
4,256,50000,746269
4,512,50000,2459965
4,1024,50000,9383585
4,2048,50000,38260711
8,128,100,1291
8,256,100,2274
8,512,100,5306
8,1024,100,19560
8,2048,100,67830
8,4096,100,317991
8,8192,100,1288197
8,128,500,5261
8,256,500,9713
8,512,500,26649
8,1024,500,72999
8,2048,500,221042
8,4096,500,1577271
8,8192,500,6338178
8,128,1000,11092
8,256,1000,18203
